variant,bc_test_mean,bc_test_std,iql_test_mean,iql_test_std,cql_test_mean,cql_test_std,bc_source,iql_source,cql_source
shift4_scale_0p8_1p2,2.35,4.24,0.35,1.838,,,BC,IQL[iql_best_vs_bc_L40_top3_seed0_steps20k],
shift4_scale_0p9_1p1,2.15,4.108,0.4,1.96,,,BC,IQL[iql_best_vs_bc_L40_top3_seed0_steps20k],
shift4_noise_0p02,2.05,4.037,0.5,2.179,,,BC,IQL[iql_best_vs_bc_L40_top3_seed0_steps20k],
shift4_jitter_0p2,1.9,3.923,0.9,2.862,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift4_paug_0p5,1.9,3.923,0.9,2.862,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift_pad4,1.6,3.666,1.3,3.363,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift_pad8,1.55,3.619,1.35,3.417,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift4_jitter_0p4,1.45,3.521,0.6,2.375,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift4_cutout16,1.4,3.47,0.95,2.932,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift4_blur3x3,1.35,3.417,0.8,2.713,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
shift4_cutout24,0.75,2.634,1.15,3.19,,,BC,IQL[iql_best_vs_bc_L40_rest8_seed0_steps20k],
