data_aug,algo,reward_mean,reward_std,data_size
shift4_blur3x3,BC, , ,20000,
shift4_blur3x3,BC, , ,100000,
shift4_blur3x3,IQL, , ,20000,
shift4_blur3x3,IQL, , ,100000,
shift4_blur3x3,CQL, , ,20000,
shift4_blur3x3,CQL, , ,100000,
shift4_cutout16,BC, , ,20000,
shift4_cutout16,BC, , ,100000,
shift4_cutout16,IQL, , ,20000,
shift4_cutout16,IQL, , ,100000,
shift4_cutout16,CQL, , ,20000,
shift4_cutout16,CQL, , ,100000,
shift4_cutout24,BC, , ,20000,
shift4_cutout24,BC, , ,100000,
shift4_cutout24,IQL, , ,20000,
shift4_cutout24,IQL, , ,100000,
shift4_cutout24,CQL, , ,20000,
shift4_cutout24,CQL, , ,100000,
shift4_jitter_0p2,BC, , ,20000,
shift4_jitter_0p2,BC, , ,100000,
shift4_jitter_0p2,IQL, , ,20000,
shift4_jitter_0p2,IQL, , ,100000,
shift4_jitter_0p2,CQL, , ,20000,
shift4_jitter_0p2,CQL, , ,100000,
shift4_jitter_0p4,BC, , ,20000,
shift4_jitter_0p4,BC, , ,100000,
shift4_jitter_0p4,IQL, , ,20000,
shift4_jitter_0p4,IQL, , ,100000,
shift4_jitter_0p4,CQL, , ,20000,
shift4_jitter_0p4,CQL, , ,100000,
shift4_noise_0p02,BC, , ,20000,
shift4_noise_0p02,BC, , ,100000,
shift4_noise_0p02,IQL, , ,20000,
shift4_noise_0p02,IQL, , ,100000,
shift4_noise_0p02,CQL, , ,20000,
shift4_noise_0p02,CQL, , ,100000,
shift4_paug_0p5,BC, , ,20000, 
shift4_paug_0p5,BC, , ,100000, 
shift4_paug_0p5,IQL, , ,20000, 
shift4_paug_0p5,IQL, , ,100000, 
shift4_paug_0p5,CQL, , ,20000, 
shift4_paug_0p5,CQL, , ,100000, 
shift4_scale_0p8_1p2,BC, , ,20000,
shift4_scale_0p8_1p2,BC, , ,100000,
shift4_scale_0p8_1p2,IQL, , ,20000, 
shift4_scale_0p8_1p2,IQL, , ,100000, 
shift4_scale_0p8_1p2,CQL, , ,20000, 
shift4_scale_0p8_1p2,CQL, , ,100000, 
shift4_scale_0p9_1p1,BC, , ,20000, 
shift4_scale_0p9_1p1,BC, , ,100000, 
shift4_scale_0p9_1p1,IQL, , ,20000, 
shift4_scale_0p9_1p1,IQL, , ,100000, 
shift4_scale_0p9_1p1,CQL, , ,20000, 
shift4_scale_0p9_1p1,CQL, , ,100000,  
shift_pad4,BC, , ,20000,
shift_pad4,BC, , ,100000,
shift_pad4,IQL, , ,20000, 
shift_pad4,IQL, , ,100000, 
shift_pad4,CQL, , ,20000, 
shift_pad4,CQL, , ,100000, 
shift_pad8,BC, , ,20000,
shift_pad8,BC, , ,100000,
shift_pad8,IQL, , ,20000,
shift_pad8,IQL, , ,100000,
shift_pad8,CQL, , ,20000,
shift_pad8,CQL, , ,100000,
