datasets_root,run_group,variant,ckpt,train_steps,batch_size,lr,seed,device,train_skipped,train_elapsed_sec,episodes,train_start,train_levels,test_start,test_levels,distribution_mode,eval_elapsed_sec,train_mean,train_std,train_episodes,test_mean,test_std,test_episodes,gen_gap
data/stage1_datasets_L40,stage1_datasets_L40,shift4_scale_0p8_1p2,runs/stage1_datasets_L40/bc_shift4_scale_0p8_1p2/bc_ckpt.pt,20000,256,0.0003,0,mps,False,458.2007167339325,200,0,40,40,500,hard,77.79894495010376,3.35,4.72,200,2.35,4.24,200,-1.0
data/stage1_datasets_L40,stage1_datasets_L40,shift4_scale_0p9_1p1,runs/stage1_datasets_L40/bc_shift4_scale_0p9_1p1/bc_ckpt.pt,20000,256,0.0003,0,mps,False,478.730819940567,200,0,40,40,500,hard,72.46107268333435,1.9,3.923,200,2.15,4.108,200,0.25
data/stage1_datasets_L40,stage1_datasets_L40,shift4_noise_0p02,runs/stage1_datasets_L40/bc_shift4_noise_0p02/bc_ckpt.pt,20000,256,0.0003,0,mps,False,523.8112170696259,200,0,40,40,500,hard,96.69893193244934,1.6,3.666,200,2.05,4.037,200,0.44999999999999973
data/stage1_datasets_L40,stage1_datasets_L40,shift4_jitter_0p2,runs/stage1_datasets_L40/bc_shift4_jitter_0p2/bc_ckpt.pt,20000,256,0.0003,0,mps,False,403.6994640827179,200,0,40,40,500,hard,93.32952213287354,1.95,3.962,200,1.9,3.923,200,-0.050000000000000044
data/stage1_datasets_L40,stage1_datasets_L40,shift4_paug_0p5,runs/stage1_datasets_L40/bc_shift4_paug_0p5/bc_ckpt.pt,20000,256,0.0003,0,mps,False,377.5638756752014,200,0,40,40,500,hard,87.9597339630127,1.85,3.883,200,1.9,3.923,200,0.04999999999999982
data/stage1_datasets_L40,stage1_datasets_L40,shift_pad4,runs/stage1_datasets_L40/bc_shift_pad4/bc_ckpt.pt,20000,256,0.0003,0,mps,False,374.7202858924866,200,0,40,40,500,hard,92.71542191505432,2.1,4.073,200,1.6,3.666,200,-0.5
data/stage1_datasets_L40,stage1_datasets_L40,shift_pad8,runs/stage1_datasets_L40/bc_shift_pad8/bc_ckpt.pt,20000,256,0.0003,0,mps,False,382.8758261203766,200,0,40,40,500,hard,123.29232788085938,0.95,2.932,200,1.55,3.619,200,0.6000000000000001
data/stage1_datasets_L40,stage1_datasets_L40,shift4_jitter_0p4,runs/stage1_datasets_L40/bc_shift4_jitter_0p4/bc_ckpt.pt,20000,256,0.0003,0,mps,False,377.031142950058,200,0,40,40,500,hard,102.96808981895447,1.55,3.619,200,1.45,3.521,200,-0.10000000000000009
data/stage1_datasets_L40,stage1_datasets_L40,shift4_cutout16,runs/stage1_datasets_L40/bc_shift4_cutout16/bc_ckpt.pt,20000,256,0.0003,0,mps,False,414.45574402809143,200,0,40,40,500,hard,120.62406706809998,1.05,3.066,200,1.4,3.47,200,0.34999999999999987
data/stage1_datasets_L40,stage1_datasets_L40,shift4_blur3x3,runs/stage1_datasets_L40/bc_shift4_blur3x3/bc_ckpt.pt,20000,256,0.0003,0,mps,False,475.5565068721771,200,0,40,40,500,hard,106.7516860961914,2.3,4.208,200,1.35,3.417,200,-0.9499999999999997
data/stage1_datasets_L40,stage1_datasets_L40,baseline_none,runs/stage1_datasets_L40/bc_baseline_none/bc_ckpt.pt,20000,256,0.0003,0,mps,False,442.68988490104675,200,0,40,40,500,hard,116.74859118461609,2.4,4.271,200,1.1,3.129,200,-1.2999999999999998
data/stage1_datasets_L40,stage1_datasets_L40,shift4_cutout24,runs/stage1_datasets_L40/bc_shift4_cutout24/bc_ckpt.pt,20000,256,0.0003,0,mps,False,388.14281606674194,200,0,40,40,500,hard,166.15665912628174,1.05,3.066,200,0.75,2.634,200,-0.30000000000000004
