data_aug,algo,reward_mean,reward_std,data_size
baseline_none,BC,1.1,3.129,20000
baseline_none,IQL,1.65,3.712,20000
baseline_none,CQL,0.68,2.52,20000
shift4_blur3x3,BC,1.35,3.417,20000
shift4_blur3x3,IQL,0.8,2.713,20000
shift4_blur3x3,CQL,0.52,2.22,20000
shift4_cutout16,BC,1.4,3.47,20000
shift4_cutout16,IQL,0.95,2.932,20000
shift4_cutout16,CQL,0.4,1.96,20000
shift4_cutout24,BC,0.75,2.634,20000
shift4_cutout24,IQL,1.15,3.19,20000
shift4_cutout24,CQL,0.48,2.14,20000
shift4_jitter_0p2,BC,1.9,3.923,20000
shift4_jitter_0p2,IQL,0.9,2.862,20000
shift4_jitter_0p2,CQL,0.82,2.74,20000
shift4_jitter_0p4,BC,1.45,3.521,20000
shift4_jitter_0p4,IQL,0.6,2.375,20000
shift4_jitter_0p4,CQL,1.02,3.03,20000
shift4_noise_0p02,BC,2.05,4.037,20000
shift4_noise_0p02,IQL,0.5,2.179,20000
shift4_noise_0p02,CQL,0.46,2.09,20000
shift4_paug_0p5,BC,1.9,3.923,20000
shift4_paug_0p5,IQL,0.9,2.862,20000
shift4_paug_0p5,CQL,0.56,2.3,20000
shift4_scale_0p8_1p2,BC,2.35,4.24,20000
shift4_scale_0p8_1p2,IQL,0.35,1.838,20000
shift4_scale_0p8_1p2,CQL,0.62,2.41,20000
shift4_scale_0p9_1p1,BC,2.15,4.108,20000
shift4_scale_0p9_1p1,IQL,0.4,1.96,20000
shift4_scale_0p9_1p1,CQL,0.54,2.26,20000
shift_pad4,BC,1.6,3.666,20000
shift_pad4,IQL,1.3,3.363,20000
shift_pad4,CQL,0.46,2.09,20000
shift_pad8,BC,1.55,3.619,20000
shift_pad8,IQL,1.35,3.417,20000
shift_pad8,CQL,0.2,1.4,20000
baseline_none,BC,1.1,3.129,100000
baseline_none,IQL,0.7,2.551,100000
baseline_none,CQL,0,0,100000
shift4_blur3x3,BC,,,100000
shift4_blur3x3,IQL,,,100000
shift4_blur3x3,CQL,0.24,1.53,100000
shift4_cutout16,BC,,,100000
shift4_cutout16,IQL,,,100000
shift4_cutout16,CQL,1.14,3.18,100000
shift4_cutout24,BC,,,100000
shift4_cutout24,IQL,,,100000
shift4_cutout24,CQL,0.04,0.63,100000
shift4_jitter_0p2,BC,,,100000
shift4_jitter_0p2,IQL,,,100000
shift4_jitter_0p2,CQL,0.76,2.65,100000
shift4_jitter_0p4,BC,,,100000
shift4_jitter_0p4,IQL,,,100000
shift4_jitter_0p4,CQL,0.52,2.65,100000
shift4_noise_0p02,BC,,,100000
shift4_noise_0p02,IQL,,,100000
shift4_noise_0p02,CQL,0.04,0.63,100000
shift4_paug_0p5,BC,,,100000
shift4_paug_0p5,IQL,,,100000
shift4_paug_0p5,CQL,2.98,4.57,100000
shift4_scale_0p8_1p2,BC,,,100000
shift4_scale_0p8_1p2,IQL,,,100000
shift4_scale_0p8_1p2,CQL,0.38,1.91,100000
shift4_scale_0p9_1p1,BC,,,100000
shift4_scale_0p9_1p1,IQL,,,100000
shift4_scale_0p9_1p1,CQL,0.28,1.65,100000
shift_pad4,BC,,,100000
shift_pad4,IQL,,,100000
shift_pad4,CQL,0.2,1.4,100000
shift_pad8,BC,,,100000
shift_pad8,IQL,,,100000
shift_pad8,CQL,0.22,1.45,100000
