algorithm,reward_mean,reward_std,data_size,ep_len,data_dist,augmentation_name
BC,1.1,3.129,20000,500,hard,baseline_none
BC + best augment,2.35,4.24,20000,500,hard,shift4_scale_0p8_1p2
BC,1.1,3.129,100000,500,hard,baseline_none
BC + best augment,2.15,4.108,100000,500,hard,shift4_scale_0p9_1p1
IQL,1.65,3.712,20000,500,hard,baseline_none
IQL + best augment,1.35,3.417,20000,500,hard,shift_pad8
IQL,0.7,2.551,100000,500,hard,baseline_none
IQL + best augment,,,100000,500,hard,
CQL,0.68,2.52,20000,500,hard,baseline_none
CQL + best augment,1.02,3.03,20000,500,hard,shift4_jitter_0p4
CQL,0,0,100000,500,hard,baseline_none
CQL + best augment,2.98,4.57,100000,500,hard,shift4_paug_0p5
